FAR_CODE_DATA_BLOCK_ID,DATA_BLOCK_FIELDS_ID,VALUE_TXT,FAR_CODE_ID
1085,23,Fill as appropriate,61
1086,24,=0 (numeric),61
1087,25,=0 (numeric),61
1088,26,=0 (numeric),61
1089,33,Fill as appropriate,61
1090,34,=O (alpha),61
1091,41,Your state contact last name,61
1092,42,Your state contact first name,61
1093,45,Contact address,61
1094,47,Contact city,61
1095,48,Contact state,61
1096,49,Contact ZIP Code,61
1097,51,Contact phone number,61
1098,194,NCP last name,61
1099,195,NCP first name,61
1100,199,NCP Social Security number,61
1101,198,NCP date of birth,61
1102,194,Participant last name,61
1103,195,Participant first name,61
1104,202,Fill as appropriate,61
1105,203,=O (alpha),61
1106,8,003,62
1107,9,Fill as appropriate,62
1108,12,P,62
1109,13,EST,62
1110,15,Your case ID,62
1111,16,Other case ID,62
1112,17,SSEST,62
1113,19,=N,62
1114,20,=1,62
1115,21,=1,62
1116,23,Fill as appropriate,62
1117,24,=1,62
1118,25,=0 (numeric),62
1119,26,=0 (numeric),62
1120,33,Fill as appropriate,62
1121,34,=O (alpha),62
1122,41,Your state contact last name,62
1123,42,Your state contact first name,62
1124,45,Contact address,62
1125,47,Contact city,62
1126,48,Contact state,62
1127,49,Contact ZIP Code,62
1128,51,Contact phone number,62
1129,194,NCP last name,62
1130,195,NCP first name,62
1131,199,NCP Social Security number,62
1132,198,NCP date of birth,62
1133,194,Participant last name,62
1134,195,Participant first name,62
1135,202,Fill as appropriate,62
1136,203,=O (alpha),62
1137,227,FIPS code of state that issued order,62
1138,228,FIPS code of county that issued order,62
1139,230,The order ID,62
1140,231,Date order was filed in your state,62
1141,232,Fill as appropriate,62
1142,233,Fill as appropriate,62
1143,234,Fill as appropriate,62
1144,235,Dollar amount per frequency,62
1145,236,Date obligation starts to accrue,62
1146,254,Y or N,62
1147,8,003,63
1148,9,Fill as appropriate,63
1149,12,P,63
1150,13,EST,63
1151,15,Your case ID,63
1152,16,Other case ID,63
1153,17,SSMOD,63
1154,19,=N,63
1155,20,=1,63
1156,21,=1,63
1157,23,Fill as appropriate,63
1158,24,=1,63
1159,25,=0 (numeric),63
1160,26,=0 (numeric),63
1161,33,Fill as appropriate,63
1162,34,=O (alpha),63
1163,41,Your state contact last name,63
1164,42,Your state contact first name,63
1165,45,Contact address,63
1166,47,Contact city,63
1167,48,Contact state,63
1168,49,Contact ZIP Code,63
1169,51,Contact phone number,63
1170,194,NCP last name,63
1171,195,NCP first name,63
1172,199,NCP Social Security number,63
1173,198,NCP date of birth,63
1174,194,Participant last name,63
1175,195,Participant first name,63
1176,202,Fill as appropriate,63
1177,203,=O (alpha),63
1178,227,FIPS code of state that issued order,63
1179,228,FIPS code of county that issued order,63
1180,230,The order ID,63
1181,231,Date order was filed in your state,63
1182,232,Fill as appropriate,63
1183,233,Fill as appropriate,63
1184,234,Fill as appropriate,63
1185,235,Dollar amount per frequency,63
1186,236,Date obligation starts to accrue,63
1187,254,Y or N,63
1188,8,003,64
1189,9,Fill as appropriate,64
1190,12,P,64
1191,13,EST,64
1192,15,Your case ID,64
1193,16,Other case ID,64
1194,17,SUADJ,64
1195,19,=N,64
1196,20,=1,64
1197,21,=1,64
1198,23,Fill as appropriate,64
1199,24,=0 (numeric),64
1200,25,=0 (numeric),64
1201,26,Fill as appropriate,64
1202,33,Fill as appropriate,64
1203,34,=O (alpha),64
1204,41,Your state contact last name,64
1205,42,Your state contact first name,64
1206,45,Contact address,64
1207,47,Contact city,64
1208,48,Contact state,64
1209,49,Contact ZIP Code,64
1210,51,Contact phone number,64
1211,194,NCP last name,64
1212,195,NCP first name,64
1213,199,NCP Social Security number,64
1214,198,NCP date of birth,64
1215,194,Participant last name,64
1216,195,Participant first name,64
1217,202,Fill as appropriate,64
1218,203,=O (alpha),64
1219,8,003,65
1220,9,Fill as appropriate,65
1221,12,P,65
1222,13,EST,65
1223,15,Your case ID,65
1224,16,Other case ID,65
1225,17,SUEST,65
1226,19,=N,65
1227,20,=1,65
1228,21,=1,65
1229,23,Fill as appropriate,65
1230,24,=0 (numeric),65
1231,25,=0 (numeric),65
1232,26,Fill as appropriate,65
1233,33,Fill as appropriate,65
1234,34,=O (alpha),65
1235,41,Your state contact last name,65
1236,42,Your state contact first name,65
1237,45,Contact address,65
1238,47,Contact city,65
1239,48,Contact state,65
1240,49,Contact ZIP Code,65
1241,51,Contact phone number,65
1242,194,NCP last name,65
1243,195,NCP first name,65
1244,199,NCP Social Security number,65
1245,198,NCP date of birth,65
1246,194,Participant last name,65
1247,195,Participant first name,65
1248,202,Fill as appropriate,65
1249,203,=O (alpha),65
1250,267,=O (alpha),65
1251,269,Fill as appropriate,65
1252,8,003,66
1253,9,Fill as appropriate,66
1254,12,P,66
1255,13,EST,66
1256,15,Your case ID,66
1257,16,Other case ID,66
1258,17,SUMOD,66
1259,19,=N,66
1260,20,=1,66
1261,21,=1,66
1262,23,=1,66
1263,24,=1,66
1264,25,=0 (numeric),66
1265,26,Fill as appropriate,66
1266,33,Fill as appropriate,66
1267,34,=O (alpha),66
1268,41,Your state contact last name,66
1269,42,Your state contact first name,66
1270,45,Contact address,66
1271,47,Contact city,66
1272,48,Contact state,66
1273,49,Contact ZIP Code,66
1274,51,Contact phone number,66
1275,194,NCP last name,66
1276,195,NCP first name,66
1277,199,NCP Social Security number,66
1278,198,NCP date of birth,66
1279,194,Participant last name,66
1280,195,Participant first name,66
1281,202,Fill as appropriate,66
1282,203,=O (alpha),66
1283,227,FIPS code of state that issued order,66
1284,228,FIPS code of county that issued order,66
1285,230,The order ID,66
1286,231,Date order was filed in your state,66
1287,232,Fill as appropriate,66
1288,233,Fill as appropriate,66
1289,234,Fill as appropriate,66
1290,235,Dollar amount per frequency,66
1291,236,Date obligation starts to accrue,66
1292,254,Y or N,66
1293,267,=O (alpha),66
1294,269,Fill as appropriate,66
1295,8,003,67
1296,9,Fill as appropriate,67
1297,12,R,67
1298,13,EST,67
1299,15,Your case ID,67
1300,17,SRADJ,67
1301,19,=N,67
1302,20,=1,67
1303,21,=1,67
1304,23,Fill as appropriate,67
1305,24,=1,67
1306,25,=0 (numeric),67
1307,26,=0 (numeric),67
1308,33,Fill as appropriate,67
1309,34,=O (alpha),67
1310,37,Payment city,67
1311,38,Payment state,67
1312,39,Payment ZIP Code,67
1313,41,Your state contact last name,67
1314,42,Your state contact first name,67
1315,45,Contact address,67
1316,47,Contact city,67
1317,48,Contact state,67
1318,49,Contact ZIP Code,67
1319,51,Contact phone number,67
1320,194,NCP last name,67
1321,195,NCP first name,67
1322,199,NCP Social Security number,67
1323,198,NCP date of birth,67
1324,84,NCP street address,67
1325,86,NCP city,67
1326,87,NCP state,67
1327,88,NCP ZIP Code,67
1328,96,Required if residential address entered,67
1329,98,Fill as appropriate,67
1330,194,Participant last name,67
1331,195,Participant first name,67
1332,198,Fill as appropriate,67
1333,199,Participant’s Social Security number,67
1334,202,Fill as appropriate,67
1335,203,=O (alpha),67
1336,204,Fill as appropriate,67
1337,227,FIPS code of state that issued order,67
1338,228,FIPS code of county that issued order,67
1339,230,The order ID,67
1340,231,Date order was filed in your state,67
1341,232,Fill as appropriate,67
1342,233,Fill as appropriate,67
1343,234,Fill as appropriate,67
1344,235,Dollar amount per frequency,67
1345,236,Date obligation starts to accrue,67
1346,254,Y or N,67
1347,8,003,68
1348,9,Fill as appropriate,68
1349,12,R,68
1350,13,EST,68
1351,15,Your case ID,68
1352,16,Other case ID,68
1353,17,SRMOD,68
1354,19,=N,68
1355,20,=1,68
1356,21,=1,68
1357,23,Fill as appropriate,68
1358,24,=1,68
1359,25,=0 (numeric),68
1360,26,=0 (numeric),68
1361,33,Fill as appropriate,68
1362,34,=O (alpha),68
1363,37,Payment city,68
1364,38,Payment state,68
1365,39,Payment ZIP Code,68
1366,41,Your state contact last name,68
1367,42,Your state contact first name,68
1368,45,Contact address,68
1369,47,Contact city,68
1370,48,Contact state,68
1371,49,Contact ZIP Code,68
1372,51,Contact phone number,68
1373,194,NCP last name,68
1374,195,NCP first name,68
1375,199,NCP Social Security number,68
1376,198,NCP date of birth,68
1377,84,NCP street address,68
1378,86,NCP city,68
1379,87,NCP state,68
1380,88,NCP ZIP Code,68
1381,96,Required if residential address entered,68
1382,98,Fill as appropriate,68
1383,194,Participant last name,68
1384,195,Participant first name,68
1385,198,Fill as appropriate,68
1386,199,Participant’s Social Security number,68
1387,202,Fill as appropriate,68
1388,203,=O (alpha),68
1389,204,Fill as appropriate,68
1390,227,FIPS code of state that issued order,68
1391,228,FIPS code of county that issued order,68
1392,230,The order ID,68
1393,231,Date order was filed in your state,68
1394,232,Fill as appropriate,68
1395,233,Fill as appropriate,68
1396,234,Fill as appropriate,68
1397,235,Dollar amount per frequency,68
1398,236,Date obligation starts to accrue,68
1399,254,Y or N,68
1400,8,003,69
1401,9,Fill as appropriate,69
1402,12,R,69
1403,13,EST,69
1404,15,Your case ID,69
1405,17,SRMOC,69
1406,19,=N,69
1407,20,=1,69
1408,21,=1,69
1409,23,Fill as appropriate,69
1410,24,=0 (numeric),69
1411,25,=0 (numeric),69
1412,26,=0 (numeric),69
1413,33,Fill as appropriate,69
1414,34,=O (alpha),69
1415,37,Payment city,69
1416,38,Payment state,69
1417,39,Payment ZIP Code,69
1418,41,Your state contact last name,69
1419,42,Your state contact first name,69
1420,45,Contact address,69
1421,47,Contact city,69
1422,48,Contact state,69
1423,49,Contact ZIP Code,69
1424,51,Contact phone number,69
1425,194,NCP last name,69
1426,195,NCP first name,69
1427,199,NCP Social Security number,69
1428,198,NCP date of birth,69
1429,84,NCP street address,69
1430,86,NCP city,69
1431,87,NCP state,69
1432,88,NCP ZIP Code,69
1433,96,Required if residential address entered,69
1434,98,Fill as appropriate,69
1435,194,Participant last name,69
1436,195,Participant first name,69
1437,198,Fill as appropriate,69
1438,199,Participant’s Social Security number,69
1439,202,Fill as appropriate,69
1440,203,=O (alpha),69
1441,204,Fill as appropriate,69
1442,8,003,70
1443,9,Fill as appropriate,70
1444,12,R,70
1445,13,EST,70
1446,15,Your case ID,70
1447,17,SROPP,70
1448,19,=N,70
1449,20,=1,70
1450,21,=1,70
1451,23,Fill as appropriate,70
1452,24,=0 (numeric),70
1453,25,=0 (numeric),70
1454,26,=0 (numeric),70
1455,33,Fill as appropriate,70
1456,34,=O (alpha),70
1457,37,Payment city,70
1458,38,Payment state,70
1459,39,Payment ZIP Code,70
1460,41,Your state contact last name,70
1461,42,Your state contact first name,70
1462,45,Contact address,70
1463,47,Contact city,70
1464,48,Contact state,70
1465,49,Contact ZIP Code,70
1466,51,Contact phone number,70
1467,194,NCP last name,70
1468,195,NCP first name,70
1469,199,NCP Social Security number,70
1470,198,NCP date of birth,70
1471,84,NCP street address,70
1472,86,NCP city,70
1473,87,NCP state,70
1474,88,NCP ZIP Code,70
1475,96,Required if residential address entered,70
1476,98,Fill as appropriate,70
1477,194,Participant last name,70
1478,195,Participant first name,70
1479,198,Fill as appropriate,70
1480,199,Participant’s Social Security number,70
1481,202,Fill as appropriate,70
1482,203,=O (alpha),70
1483,204,Fill as appropriate,70
1484,8,003,71
1485,9,Fill as appropriate,71
1486,12,R,71
1487,13,EST,71
1488,15,Your case ID,71
1489,17,SRORD,71
1490,19,=N,71
1491,20,=1,71
1492,21,=1,71
1493,23,Fill as appropriate,71
1494,24,=0 (numeric),71
1495,25,=0 (numeric),71
1496,26,=0 (numeric),71
1497,33,Fill as appropriate,71
1498,34,=O (alpha),71
1499,37,Payment city,71
1500,38,Payment state,71
1501,39,Payment ZIP Code,71
1502,41,Your state contact last name,71
1503,42,Your state contact first name,71
1504,45,Contact address,71
1505,47,Contact city,71
1506,48,Contact state,71
1507,49,Contact ZIP Code,71
1508,51,Contact phone number,71
1509,194,NCP last name,71
1510,195,NCP first name,71
1511,199,NCP Social Security number,71
1512,198,NCP date of birth,71
1513,84,NCP street address,71
1514,86,NCP city,71
1515,87,NCP state,71
1516,88,NCP ZIP Code,71
1517,96,Required if residential address entered,71
1518,98,Fill as appropriate,71
1519,194,Participant last name,71
1520,195,Participant first name,71
1521,198,Fill as appropriate,71
1522,199,Participant’s Social Security number,71
1523,202,Fill as appropriate,71
1524,203,=O (alpha),71
1525,204,Fill as appropriate,71
1526,8,003,72
1527,9,Fill as appropriate,72
1528,12,R,72
1529,13,PAT,72
1530,15,Your case ID,72
1531,17,SRPAT,72
1532,19,=N,72
1533,20,=1,72
1534,21,=1,72
1535,23,Fill as appropriate,72
1536,24,=0 (numeric),72
1537,25,=0 (numeric),72
1538,26,=0 (numeric),72
1539,33,Fill as appropriate,72
1540,34,=O (alpha),72
1541,37,Payment city,72
1542,38,Payment state,72
1543,39,Payment ZIP Code,72
1544,41,Your state contact last name,72
1545,42,Your state contact first name,72
1546,45,Contact address,72
1547,47,Contact city,72
1548,48,Contact state,72
1549,49,Contact ZIP Code,72
1550,51,Contact phone number,72
1551,194,NCP last name,72
1552,195,NCP first name,72
1553,199,NCP Social Security number,72
1554,198,NCP date of birth,72
1555,84,NCP street address,72
1556,86,NCP City,72
1557,87,NCP state,72
1558,88,NCP ZIP Code,72
1559,96,Required if residential address entered,72
1560,98,Fill as appropriate,72
1561,194,Participant last name,72
1562,195,Participant first name,72
1563,198,Fill as appropriate,72
1564,202,Fill as appropriate,72
1565,203,=O (alpha),72
1566,204,Fill as appropriate,72
1567,267,=O (alpha),72
1568,269,Fill as appropriate,72
1569,8,3,96
1570,9,Fill as appropriate,96
1571,12,R,96
1572,13,LO1,96
1573,15,Your case ID,96
1574,19,#NAME?,96
1575,20,1,96
1576,21,1,96
1577,22,=0 (numeric),96
1578,24,=0 (numeric),96
1579,25,=0 (numeric),96
1580,26,=0 (numeric),96
1581,33,Any case type except non-IV-D,96
1582,34,Fill as appropriate,96
1583,41,Your state contact last name,96
1584,42,Your state contact first name,96
1585,45,Contact address,96
1586,47,Contact city,96
1587,48,Contact state,96
1588,49,Contact ZIP Code,96
1589,51,Contact phone number,96
1590,194,NCP last name,96
1591,195,NCP first name,96
1592,199,NCP Social Security number,96
1593,198,NCP date of birth,96
1594,8,3,97
1595,9,Fill as appropriate,97
1596,12,P,97
1597,13,LO1,97
1598,16,Other case ID,97
1599,17,LICAD,97
1600,19,#NAME?,97
1601,20,1,97
1602,21,1,97
1603,22,1,97
1604,23,=0 (numeric),97
1605,24,=0 (numeric),97
1606,25,=0 (numeric),97
1607,26,=0 (numeric),97
1608,33,Any case type,97
1609,34,#NAME?,97
1610,41,Your state contact last name,97
1611,42,Your state contact first name,97
1612,45,Contact address,97
1613,47,Contact city,97
1614,48,Contact state,97
1615,49,Contact ZIP Code,97
1616,51,Contact phone number,97
1617,194,NCP last name,97
1618,195,NCP first name,97
1619,199,NCP Social Security number,97
1620,198,NCP date of birth,97
1621,84,Street address,97
1622,86,City,97
1623,87,State,97
1624,88,ZIP Code,97
1625,96,Required if residential address entered,97
1626,8,3,98
1627,9,Fill as appropriate,98
1628,12,P,98
1629,13,LO1,98
1630,16,Other case ID,98
1631,17,LICEM,98
1632,19,#NAME?,98
1633,20,1,98
1634,21,1,98
1635,22,1,98
1636,23,=0 (numeric),98
1637,24,=0 (numeric),98
1638,25,=0 (numeric),98
1639,26,=0 (numeric),98
1640,33,Any case type,98
1641,34,#NAME?,98
1642,41,Your state contact last name,98
1643,42,Your state contact first name,98
1644,45,Contact address,98
1645,47,Contact city,98
1646,48,Contact state,98
1647,49,Contact ZIP Code,98
1648,51,Contact phone number,98
1649,194,NCP last name,98
1650,195,NCP first name,98
1651,199,NCP Social Security number,98
1652,198,NCP date of birth,98
1653,124,Employer name,98
1654,125,Employer street address,98
1655,127,Employer city,98
1656,128,Employer state,98
1657,129,Employer ZIP Code,98
1658,131,Employer telephone number,98
1659,132,Required if employer entered,98
1660,134,#NAME?,98
1661,8,3,99
1662,9,Fill as appropriate,99
1663,12,P,99
1664,13,LO1,99
1665,16,Other case ID,99
1666,17,LSADR,99
1667,19,#NAME?,99
1668,20,1,99
1669,21,1,99
1670,22,1,99
1671,23,=0 (numeric),99
1672,24,=0 (numeric),99
1673,25,=0 (numeric),99
1674,26,=0 (numeric),99
1675,33,Any case type,99
1676,34,#NAME?,99
1677,41,Your state contact last name,99
1678,42,Your state contact first name,99
1679,45,Contact address,99
1680,47,Contact city,99
1681,48,Contact state,99
1682,49,Contact ZIP Code,99
1683,51,Contact phone number,99
1684,194,NCP last name,99
1685,195,NCP first name,99
1686,199,NCP Social Security number,99
1687,198,NCP date of birth,99
1688,84,Street address,99
1689,86,City,99
1690,87,State,99
1691,88,ZIP Code,99
1692,96,Required if residential address entered,99
1693,8,3,100
1694,9,Fill as appropriate,100
1695,12,P,100
1696,13,LO1,100
1697,16,Other case ID,100
1698,17,LSALL,100
1699,19,#NAME?,100
1700,20,1,100
1701,21,1,100
1702,22,1,100
1703,23,=0 (numeric),100
1704,24,=0 (numeric),100
1705,25,=0 (numeric),100
1706,26,=0 (numeric),100
1707,33,Any case type,100
1708,34,#NAME?,100
1709,41,Your state contact last name,100
1710,42,Your state contact first name,100
1711,45,Contact address,100
1712,47,Contact city,100
1713,48,Contact state,100
1714,49,Contact ZIP Code,100
1715,51,Contact phone number,100
1716,194,NCP last name,100
1717,195,NCP first name,100
1718,199,NCP Social Security number,100
1719,198,NCP date of birth,100
1720,84,Street address,100
1721,86,City,100
1722,87,State,100
1723,88,ZIP Code,100
1724,96,Required if residential address entered,100
1725,98,#NAME?,100
1726,124,Employer name,100
1727,125,Employer street address,100
1728,127,Employer city,100
1729,128,Employer state,100
1730,129,Employer ZIP Code,100
1731,132,Required if employer entered,100
1732,8,3,101
1733,9,Fill as appropriate,101
1734,12,P,101
1735,13,LO1,101
1736,16,Other case ID,101
1737,17,LSEMP,101
1738,19,#NAME?,101
1739,20,1,101
1740,21,1,101
1741,22,1,101
1742,23,=0 (numeric),101
1743,24,=0 (numeric),101
1744,25,=0 (numeric),101
1745,26,=0 (numeric),101
1746,33,Any case type,101
1747,34,#NAME?,101
1748,41,Your state contact last name,101
1749,42,Your state contact first name,101
1750,45,Contact address,101
1751,47,Contact city,101
1752,48,Contact state,101
1753,49,Contact ZIP Code,101
1754,51,Contact phone number,101
1755,194,NCP last name,101
1756,195,NCP first name,101
1757,199,NCP Social Security number,101
1758,198,Date of birth,101
1759,124,Employer name,101
1760,125,Employer street address,101
1761,127,Employer city,101
1762,128,Employer state,101
1763,129,Employer ZIP Code,101
1764,131,Employer telephone number,101
1765,132,Required if employer entered,101
1766,134,#NAME?,101
1767,8,3,102
1768,9,Fill as appropriate,102
1769,12,P,102
1770,13,LO1,102
1771,16,Other case ID,102
1772,17,LSOTH,102
1773,19,#NAME?,102
1774,20,1,102
1775,21,1,102
1776,22,1,102
1777,23,=0 (numeric),102
1778,24,=0 (numeric),102
1779,25,=0 (numeric),102
1780,26,Fill as appropriate,102
1781,33,Any case type,102
1782,34,#NAME?,102
1783,41,Your state contact last name,102
1784,42,Your state contact first name,102
1785,45,Contact address,102
1786,47,Contact city,102
1787,48,Contact state,102
1788,49,Contact ZIP Code,102
1789,51,Contact phone number,102
1790,194,NCP last name,102
1791,195,NCP first name,102
1792,199,NCP Social Security number,102
1793,198,NCP date of birth,102
1794,84,Street address,102
1795,86,City,102
1796,87,State,102
1797,88,ZIP Code,102
1798,96,Required if residential address entered,102
1799,98,Fill as appropriate,102
1800,267,,102
1801,8,3,103
1802,9,Fill as appropriate,103
1803,12,P,103
1804,13,LO1,103
1805,16,Other case ID,103
1806,17,LUALL,103
1807,19,#NAME?,103
1808,20,1,103
1809,21,1,103
1810,22,=0 (numeric),103
1811,23,=0 (numeric),103
1812,24,=0 (numeric),103
1813,26,=0 (numeric),103
1814,33,Any case type,103
1815,34,Fill as appropriate,103
1816,41,Your state contact last name,103
1817,42,Your state contact first name,103
1818,45,Contact address,103
1819,47,Contact city,103
1820,48,Contact state,103
1821,49,Contact ZIP Code,103
1822,51,Contact phone number,103
1823,194,NCP last name,103
1824,195,NCP first name,103
1825,199,NCP Social Security number,103
1826,198,NCP date of birth,103
1827,8,3,104
1828,9,Fill as appropriate,104
1829,12,P,104
1830,13,LO1,104
1831,16,Other case ID,104
1832,17,LUAPD,104
1833,19,#NAME?,104
1834,20,1,104
1835,21,1,104
1836,22,=0 (numeric),104
1837,23,=0 (numeric),104
1838,24,=0 (numeric),104
1839,25,=0 (numeric),104
1840,26,#NAME?,104
1841,33,Any case type,104
1842,34,Fill as appropriate,104
1843,41,Your state contact last name,104
1844,42,Your state contact first name,104
1845,45,Contact address,104
1846,47,Contact city,104
1847,48,Contact state,104
1848,49,Contact ZIP Code,104
1849,51,Contact phone number,104
1850,194,NCP last name,104
1851,195,NCP first name,104
1852,199,NCP Social Security number,104
1853,198,NCP date of birth,104
1854,267,#NAME?,104
1855,8,003,105
1856,9,Fill as appropriate,105
1857,12,P,105
1858,13,MSC,105
1859,15,Your case ID,105
1860,16,Other case ID,105
1861,17,GIHER,105
1862,18,The date the event will occur,105
1863,19,=N,105
1864,20,=1,105
1865,21,=1,105
1866,23,=1,105
1867,24,=0 (numeric),105
1868,25,=0 (numeric),105
1869,26,=0 (numeric),105
1870,33,Fill as appropriate,105
1871,34,=O (alpha),105
1872,41,Your state contact last name,105
1873,42,Your state contact first name,105
1874,45,Contact address,105
1875,47,Contact city,105
1876,48,Contact state,105
1877,49,Contact ZIP Code,105
1878,51,Contact phone number,105
1879,194,NCP last name,105
1880,195,NCP first name,105
1881,199,NCP Social Security number,105
1882,198,NCP date of birth,105
1883,194,Participant last name,105
1884,195,Participant first name,105
1885,202,Fill as appropriate,105
1886,203,=O (alpha),105
1887,8,003,106
1888,9,Fill as appropriate,106
1889,12,P,106
1890,13,MSC,106
1891,15,Your case ID,106
1892,16,Other case ID,106
1893,17,GSADD,106
1894,19,=N,106
1895,20,=1,106
1896,21,=1,106
1897,23,Fill as appropriate,106
1898,24,=0 (numeric),106
1899,25,=0 (numeric),106
1900,26,=0 (numeric),106
1901,33,Fill as appropriate,106
1902,34,=O (alpha),106
1903,41,Your state contact last name,106
1904,42,Your state contact first name,106
1905,45,Contact address,106
1906,47,Contact city,106
1907,48,Contact state,106
1908,49,Contact ZIP Code,106
1909,51,Contact phone number,106
1910,194,NCP last name,106
1911,195,NCP first name,106
1912,199,NCP Social Security number,106
1913,198,NCP date of birth,106
1914,194,Participant last name,106
1915,195,Participant first name,106
1916,202,Fill as appropriate,106
1917,203,=O (alpha),106
1918,8,003,107
1919,9,Fill as appropriate,107
1920,12,P,107
1921,13,MSC,107
1922,15,Your case ID,107
1923,16,Other case ID,107
1924,17,GSC02,107
1925,19,=N,107
1926,18,The date case was closed,107
1927,20,=1,107
1928,21,=1,107
1929,23,Fill as appropriate,107
1930,24,=0 (numeric),107
1931,25,=0 (numeric),107
1932,26,=0 (numeric),107
1933,33,Fill as appropriate,107
1934,34,=C,107
1935,41,Your state contact last name,107
1936,42,Your state contact first name,107
1937,45,Contact address,107
1938,47,Contact city,107
1939,48,Contact state,107
1940,49,Contact ZIP Code,107
1941,51,Contact phone number,107
1942,194,NCP last name,107
1943,195,NCP first name,107
1944,199,NCP Social Security number,107
1945,198,NCP date of birth,107
1946,194,Participant last name,107
1947,195,Participant first name,107
1948,202,Fill as appropriate,107
1949,203,=C,107
1950,8,003,108
1951,9,Fill as appropriate,108
1952,12,P,108
1953,13,MSC,108
1954,15,Your case ID,108
1955,16,Other case ID,108
1956,17,GSC03,108
1957,18,Date case was closed,108
1958,19,=N,108
1959,20,=1,108
1960,21,=1,108
1961,23,Fill as appropriate,108
1962,24,=0 (numeric),108
1963,25,=0 (numeric),108
1964,26,=0 (numeric),108
1965,33,Fill as appropriate,108
1966,34,=C,108
1967,41,Your state contact last name,108
1968,42,Your state contact first name,108
1969,45,Contact address,108
1970,47,Contact city,108
1971,48,Contact state,108
1972,49,Contact ZIP Code,108
1973,51,Contact phone number,108
1974,194,NCP last name,108
1975,195,NCP first name,108
1976,199,NCP Social Security number,108
1977,198,NCP date of birth,108
1978,194,Participant last name,108
1979,195,Participant first name,108
1980,202,Fill as appropriate,108
1981,203,=C,108
1982,8,003,109
1983,9,Fill as appropriate,109
1984,12,P,109
1985,13,MSC,109
1986,15,Your case ID,109
1987,16,Other case ID,109
1988,17,GSC05,109
1989,18,Date case was closed,109
1990,19,=N,109
1991,20,=1,109
1992,21,=1,109
1993,23,Fill as appropriate,109
1994,24,=0 (numeric),109
1995,25,=0 (numeric),109
1996,26,=0 (numeric),109
1997,33,Fill as appropriate,109
1998,34,=C,109
1999,41,Your state contact last name,109
2000,42,Your state contact first name,109
2001,45,Contact address,109
2002,47,Contact city,109
2003,48,Contact state,109
2004,49,Contact ZIP Code,109
2005,51,Contact phone number,109
2006,194,NCP last name,109
2007,195,NCP first name,109
2008,199,NCP Social Security number,109
2009,198,NCP date of birth,109
2010,194,Participant last name,109
2011,195,Participant first name,109
2012,202,Fill as appropriate,109
2013,203,=C,109
2014,8,003,110
2015,9,Fill as appropriate,110
2016,12,P,110
2017,13,MSC,110
2018,15,Your case ID,110
2019,16,Other case ID,110
2020,17,GSC5B,110
2021,18,Date case was closed,110
2022,19,=N,110
2023,20,=1,110
2024,21,=1,110
2025,23,Fill as appropriate,110
2026,24,=0 (numeric),110
2027,25,=0 (numeric),110
2028,26,=0 (numeric),110
2029,33,Fill as appropriate,110
2030,34,=C,110
2031,41,Your state contact last name,110
2032,42,Your state contact first name,110
2033,45,Contact address,110
2034,47,Contact city,110
2035,48,Contact state,110
2036,49,Contact ZIP Code,110
2037,51,Contact phone number,110
2038,194,NCP last name,110
2039,195,NCP first name,110
2040,199,NCP Social Security number,110
2041,198,NCP date of birth,110
2042,194,Participant last name,110
2043,195,Participant first name,110
2044,202,Fill as appropriate,110
2045,203,=C,110
2046,8,003,111
2047,9,Fill as appropriate,111
2048,12,P,111
2049,13,MSC,111
2050,15,Your case ID,111
2051,16,Other case ID,111
2052,17,GSC06,111
2053,18,Date case was closed,111
2054,19,=N,111
2055,20,=1,111
2056,21,=1,111
2057,23,Fill as appropriate,111
2058,24,=0 (numeric),111
2059,25,=0 (numeric),111
2060,26,=0 (numeric),111
2061,33,Fill as appropriate,111
2062,34,=C,111
2063,41,Your state contact last name,111
2064,42,Your state contact first name,111
2065,45,Contact address,111
2066,47,Contact city,111
2067,48,Contact state,111
2068,49,Contact ZIP Code,111
2069,51,Contact phone number,111
2070,194,NCP last name,111
2071,195,NCP first name,111
2072,199,NCP Social Security number,111
2073,198,NCP date of birth,111
2074,194,Participant last name,111
2075,195,Participant first name,111
2076,202,Fill as appropriate,111
2077,203,=C,111
2078,8,003,112
2079,9,Fill as appropriate,112
2080,12,P,112
2081,13,MSC,112
2082,15,Your case ID,112
2083,16,Other case ID,112
2084,17,GSC07,112
2085,18,Date case was closed,112
2086,19,=N,112
2087,20,=1,112
2088,21,=1,112
2089,23,Fill as appropriate,112
2090,24,=0 (numeric),112
2091,25,=0 (numeric),112
2092,26,=0 (numeric),112
2093,33,Fill as appropriate,112
2094,34,=C,112
2095,41,Your state contact last name,112
2096,42,Your state contact first name,112
2097,45,Contact address,112
2098,47,Contact city,112
2099,48,Contact state,112
2100,49,Contact ZIP Code,112
2101,51,Contact phone number,112
2102,194,NCP last name,112
2103,195,NCP first name,112
2104,199,NCP Social Security number,112
2105,198,NCP date of birth,112
2106,194,Participant last name,112
2107,195,Participant first name,112
2108,202,Fill as appropriate,112
2109,203,=C,112
2110,8,003,113
2111,9,Fill as appropriate,113
2112,12,P,113
2113,13,MSC,113
2114,15,Your case ID,113
2115,16,Other case ID,113
2116,17,GSC08,113
2117,18,Date case was closed,113
2118,19,=N,113
2119,20,=1,113
2120,21,=1,113
2121,23,Fill as appropriate,113
